NAME,STATE_ABB,ESTIMATESBASE2022
Alaska,AK,738023
Alabama,AL,5073187
Arkansas,AR,3030646
Arizona,AZ,7303398
California,CA,39995077
Colorado,CO,5922618
Connecticut,CT,3612314
District of Columbia,DC,689545
Delaware,DE,1008350
Florida,FL,22085563
Georgia,GA,10916760
Hawaii,HI,1474265
Iowa,IA,3219171
Idaho,ID,1893410
Illinois,IL,12808884
Indiana,IN,6845874
Kansas,KS,2954832
Kentucky,KY,4539130
Louisiana,LA,4682633
Massachusetts,MA,7126375
Maryland,MD,6257958
Maine,ME,1369159
Michigan,MI,10116069
Minnesota,MN,5787008
Missouri,MO,6188111
Mississippi,MS,2960075
Montana,MT,1103187
North Carolina,NC,10620168
North Dakota,ND,800394
Nebraska,NE,1988536
New Hampshire,NH,1389741
New Jersey,NJ,9388414
New Mexico,NM,2129190
Nevada,NV,3185426
New York,NY,20365879
Ohio,OH,11852036
Oklahoma,OK,4000953
Oregon,OR,4318492
Pennsylvania,PA,13062764
Rhode Island,RI,1106341
South Carolina,SC,5217037
South Dakota,SD,901165
Tennessee,TN,7023788
Texas,TX,29945493
Utah,UT,3373162
Virginia,VA,8757467
Vermont,VT,646545
Washington,WA,7901429
Wisconsin,WI,5935064
West Virginia,WV,1781860
Wyoming,WY,579495
